id,prediction
5282,0
5284,0
5294,1
5319,0
5322,0
5327,0
5335,1
5339,1
5340,0
5362,0
5365,0
5381,1
5397,0
5410,0
5412,0
5414,0
5421,1
5424,0
5429,1
5436,1
5438,0
5439,0
5449,0
5471,0
5482,0
5483,0
5489,0
5495,1
5499,1
5504,0
5509,1
5517,1
5531,0
5533,1
5535,0
5549,0
5561,0
5563,0
5572,1
5575,1
5583,0
5588,0
5592,0
5594,1
5597,0
5600,1
5602,0
5612,0
5614,0
5628,0
5629,0
5644,0
5645,0
5649,0
5654,0
5656,0
5661,0
5665,0
5673,0
5678,0
5683,1
5693,0
5697,0
5704,0
5711,0
5713,1
5714,0
5715,0
5716,0
5737,0
5748,0
5764,0
5765,0
5766,0
5775,0
5795,0
5797,0
5806,0
5819,0
5835,1
5847,1
5849,0
5854,0
5860,1
5861,0
5865,0
5875,0
5878,0
5881,0
5882,1
5891,0
5904,0
5908,0
5913,0
5915,0
5932,0
5933,0
5936,0
5937,0
5939,0
5940,0
5941,1
5952,0
5953,1
5959,0
5964,0
5972,0
5999,0
